month,invested,outlier,first,second,rest,total,number of clusters
1998-04,0.01999375195251484,2241,188,142,630,3201,88
1998-05,0.04472049689440994,2254,292,181,493,3220,90
1998-06,0.04489408789124249,2214,129,91,729,3163,88
1998-07,0.054292929292929296,2217,200,106,645,3168,89
1998-08,0.09568775574441298,2224,162,147,644,3177,88
1998-09,0.07894736842105263,2181,107,90,738,3116,90
1998-10,0.06914212548015365,2187,198,117,622,3124,90
1998-11,0.056579783852511126,2202,179,144,621,3146,88
1998-12,0.055961844197138316,2201,228,224,492,3145,90
1999-01,0.046261089987325726,2209,128,109,710,3156,90
1999-02,0.04682062638405568,2213,130,104,714,3161,90
1999-03,0.07235453723243895,2322,277,117,601,3317,88
1999-04,0.06936067551266586,2321,195,169,631,3316,90
1999-05,0.03198551599275799,2320,340,127,527,3314,89
1999-06,0.0666870602630774,2288,149,125,707,3269,88
1999-07,0.04610251744009706,2308,173,143,673,3297,90
1999-08,0.045866022933011466,2320,148,128,718,3314,90
1999-09,0.08031400966183574,2318,275,126,593,3312,90
1999-10,0.07538139395752318,2340,207,118,678,3343,90
1999-11,0.061338838100855206,2374,206,107,704,3391,90
1999-12,0.06148686416992733,2504,183,132,759,3578,90
2000-01,0.05763369354391798,2526,167,157,759,3609,81
2000-02,0.042682926829268296,2525,208,102,773,3608,89
2000-03,0.06729826853969291,2143,237,211,470,3061,73
2000-04,0.014925373134328358,2157,335,141,449,3082,88
2000-05,0.04180064308681672,2177,254,220,459,3110,84
2000-06,0.06186909801367633,2150,303,189,429,3071,84
2000-07,0.08188265635074146,2171,358,237,336,3102,90
2000-08,0.06278026905829596,2185,204,147,586,3122,90
2000-09,0.08407224958949097,2131,341,120,453,3045,90
2000-10,0.08877284595300261,2145,286,109,524,3064,90
2000-11,0.06976744186046512,2167,299,124,506,3096,90
2000-12,0.06649902207320481,2505,358,198,518,3579,89
2001-01,0.06133258990800112,2511,258,189,629,3587,89
2001-02,0.08042151968940654,2524,179,163,740,3606,90
2001-03,0.08783588558220168,2423,386,255,397,3461,90
2001-04,0.05477082732776016,2428,239,188,614,3469,90
2001-05,0.0293187697614257,2435,443,210,391,3479,89
2001-06,0.06155632984901278,2411,169,129,735,3444,90
2001-07,0.07074514351986083,2414,209,135,691,3449,88
2001-08,0.03221167673281564,2434,250,175,618,3477,88
2001-09,0.06514657980456026,2364,203,174,636,3377,90
2001-10,0.06635349383440986,2384,217,165,640,3406,90
2001-11,0.08541545613015689,2409,253,239,541,3442,89
2001-12,0.003432494279176201,2447,248,168,633,3496,90
2002-01,0.06878908470722,2462,293,194,569,3518,90
2002-02,0.04246885617214043,2472,212,126,722,3532,90
2002-03,0.07474452554744526,2397,421,228,379,3425,90
2002-04,0.06488991888760139,2416,369,243,424,3452,90
2002-05,0.05566714490674318,2439,280,237,529,3485,88
2002-06,0.06462781304096941,2426,139,117,784,3466,90
2002-07,0.03659233847913093,2448,257,161,632,3498,88
2002-08,0.03914893617021276,2467,280,235,543,3525,90
2002-09,0.06676342525399129,2411,128,125,781,3445,90
2002-10,0.020887728459530026,2413,208,187,639,3447,90
2002-11,0.06662804171494785,2416,194,186,656,3452,88
2002-12,0.05815644082582146,2407,230,176,626,3439,90
2003-01,0.004062681369704005,2412,266,212,556,3446,90
2003-02,0.03706921517520996,2417,215,123,698,3453,90
2003-03,0.05,2352,224,126,658,3360,89
2003-04,0.022598870056497175,2354,236,229,544,3363,90
